"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R125E02"	-0.0544881852840696	0.486381322957198	0.451028602312271	0.521870838573374	0.452092229177981	0.823931399922
"R125E04"	-0.0133187318402812	0.496670366259711	0.458850024744187	0.534528848975956	0.863335443960302	0.988503036207334
"R126H08"	-0.7674643942139	0.31702786377711	0.291279379723626	0.343947844176896	0	0
"R127E02"	-0.137812500639766	0.465601300108342	0.439297928715153	0.492097373126124	0.0109779226391382	0.0939222270237381
"R127F10"	-0.129987384189793	0.467548834278513	0.427532391241061	0.507987153605131	0.1156602191895	0.426776344062669
"R128A08"	-0.125207976956121	0.468738835298321	0.438530760570851	0.499177769998243	0.0441318296362507	0.26652163780324
"R128F11"	-0.0493927553295762	0.487654320987654	0.445705228090489	0.529778044001716	0.565947002273792	0.85179409143371
"R129A11"	-0.129009150598896	0.467792370231395	0.427922107467457	0.508078214390528	0.117031699419233	0.426776344062669
"R129B01"	-0.397085170801414	0.402012859938496	0.375932013738191	0.428660263470799	1.33826283388316e-12	2.94417823454296e-11
"R12C02"	-0.0380180671875206	0.490496627835684	0.450797367912733	0.530316114954174	0.640232656642345	0.893172614657585
"R12H07"	-0.0513719694987193	0.487159831353009	0.455754312106286	0.518667060542086	0.424505048088435	0.800897777955756
"R131H11"	0.178027279655759	0.54438964241677	0.504387217713781	0.58382738175938	0.029682691269475	0.19874497632605
"R132A05"	-0.23638877806423	0.441176470588235	0.404276005698297	0.478738349184841	0.00219568039586426	0.0241524843545069
"R132G08"	-0.179512207481034	0.455242075931731	0.440329014047778	0.470235848628742	5.43207434589021e-09	9.84164057961286e-08
"R132G11"	0.0282406679427511	0.507059697795393	0.48173588961963	0.5323473316911	0.584898290381586	0.874508123483148
"R133A03"	-0.146860246564579	0.463350785340314	0.426888214526039	0.500209526580159	0.0513142635470281	0.282228449508654
"R133F11"	-0.07262718841407	0.481851179673322	0.433722541767886	0.53031894863015	0.463223474150361	0.83925194140183
"R134A03"	-0.00533334597536253	0.498666666666667	0.467301121813326	0.530042708945711	0.933697828813593	0.989860051766172
"R134B11"	-0.158358997453045	0.460492778249788	0.414209253981736	0.507467782558969	0.0991663693053253	0.400597420230915
"R135G02"	-0.033576295533604	0.491606714628297	0.452339319382944	0.530977947674863	0.6763558286808	0.913673663305643
"R135H08"	-0.0309652219439375	0.49225931301403	0.467271609071883	0.517285751549107	0.544458861851541	0.85179409143371
"R136B09"	-0.0886859517599618	0.477843032568073	0.440882542024469	0.515047747871868	0.243045884206172	0.639813096884624
"R136E04"	-1.64308594655233	0.162045594577943	0.134713716637385	0.193681559603364	0	0
"R137H01"	0.0135035810346737	0.50337584396099	0.459383985877399	0.547315495966575	0.880685993439532	0.989860051766172
"R138D08"	-3.61226834489109	0.0262812091109318	0.0158595509616652	0.0432502034880096	0	0
"R138E01"	-0.0170484165017833	0.495737999102737	0.461723224601157	0.529792271529453	0.806420270619457	0.988503036207334
"R139D05"	-0.0641729572512114	0.483962264150943	0.434871291957459	0.533364716390854	0.524919673640541	0.85179409143371
"R139D08"	0.0703724199037078	0.517585848074922	0.494361449191207	0.540734518100926	0.137743611454412	0.49331432939487
"R140D12"	0.033616610798985	0.508403361344538	0.471546476650286	0.545169123059972	0.655213727495061	0.896914791415461
"R141F11"	-0.164255178059585	0.459028281363307	0.416247573419417	0.502421580587004	0.0641957131674111	0.324135732058404
"R141G10"	-0.457326716426953	0.387620192307692	0.349944162277411	0.42669001309125	3.12253065626322e-08	5.06178653752143e-07
"R143D09"	-0.130200579552672	0.467495760316563	0.429575345434269	0.50579543554091	0.0961664644011488	0.400597420230915
"R143E09"	-0.055896902382124	0.486029411764706	0.44262177167817	0.529648834295812	0.530426751886524	0.85179409143371
"R143F02"	-0.00441780459760917	0.498895550646892	0.470341176678644	0.527457130590651	0.939644427876848	0.989860051766172
"R144E07"	-0.10146946016486	0.474654377880184	0.436304164919999	0.513305922649336	0.198612460936247	0.580822466164369
"R144F06"	-0.0304830167250757	0.492379835873388	0.460642472965913	0.524178736037865	0.638764345856075	0.893172614657585
"R145B04"	-0.172097323018095	0.457081545064378	0.414617351109915	0.500178759658609	0.0509555027925759	0.282228449508654
