"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R127F10"	-0.122653534547212	0.469375	0.429646535996958	0.509495445851197	0.13452515480665	0.573600312856132
"R128A08"	-0.0970963080203845	0.475744975744976	0.446055324711547	0.505607067653439	0.111345908069093	0.527048933461913
"R128F11"	-0.0460786119640756	0.488482384823848	0.446935469558418	0.530189045083035	0.588609802289231	0.910761974207259
"R129A11"	-0.0589851550210158	0.485257985257985	0.4457129012061	0.524988525571958	0.467228465021177	0.874628894887205
"R129B01"	-0.366732742450955	0.409330741460705	0.383336120902965	0.435842241281941	3.74560382709888e-11	8.21357410656682e-10
"R12C02"	-0.00357782134788406	0.499105545617173	0.460037395814677	0.538184620300026	0.964286670182081	0.988418333992562
"R12H07"	-0.0513719694987197	0.487159831353009	0.455871129720579	0.518549486467642	0.422770296645923	0.868845447091217
"R131H11"	0.17854671052178	0.544518473652332	0.505018560319049	0.583466100998249	0.0272269471020821	0.209103992877923
"R132A05"	-0.227939723577703	0.443260522109749	0.406865767552403	0.480274734235964	0.00271407329587703	0.0297578750655088
"R132G08"	-0.175976782683708	0.456118987561973	0.441266710584336	0.471049715562295	9.24288223735914e-09	1.77347802929329e-07
"R132G11"	0.0282406679427527	0.507059697795393	0.481830392348723	0.532253098255317	0.583491398826987	0.910761974207259
"R133A03"	-0.120677393682748	0.469867211440245	0.433918289465738	0.506131543128038	0.103335278508078	0.527048933461913
"R133F11"	-0.0712044462917916	0.48220640569395	0.43471846353248	0.530017956573418	0.465962182233611	0.874628894887205
"R134A03"	-0.00533334597536277	0.498666666666667	0.467417961248648	0.529925791435381	0.933449806911026	0.988418333992562
"R134B11"	-0.132633323412839	0.466890192791282	0.420986054800683	0.513361869378074	0.162439627853953	0.611788972369089
"R135G02"	-0.0339810081931439	0.491505565319274	0.452831892087705	0.530281173679804	0.667934773647254	0.915428462096906
"R135H08"	-0.0309652219439375	0.49225931301403	0.467364723002302	0.517192349254072	0.542950945547687	0.89950654471283
"R136B09"	-0.063580732188385	0.484110169491525	0.447380886784532	0.521011919790833	0.398761119782223	0.862110308261568
"R136E04"	-1.58646543129061	0.169881767268202	0.141913981941333	0.202063401464119	0	0
"R137H01"	0.0405265298999935	0.51013024602026	0.467040272563837	0.553070207420126	0.645290100340402	0.910761974207259
"R138D08"	-3.60821154199747	0.0263852245068667	0.0159528470016092	0.0433393979076871	0	0
"R138E01"	0.00698692798668003	0.50174672489083	0.468283410854015	0.535194398282635	0.918616351746546	0.988418333992562
"R139D05"	-0.0408219945202547	0.489795918367347	0.441222722969601	0.538562561820703	0.682165762934763	0.919646934740951
"R139D08"	0.0730008928844908	0.518242122719735	0.495149799888798	0.541256782220531	0.121517176677288	0.548614312351873
"R140D12"	0.0336166107989853	0.508403361344538	0.471683828107496	0.545032448664662	0.654005072755897	0.910761974207259
"R141F11"	-0.129490983087517	0.467672413793103	0.425129226895943	0.510690900562189	0.140661745402621	0.591550079980884
"R141G10"	-0.447939641487217	0.389850746268657	0.352379986988364	0.428668609851789	4.63404592476735e-08	7.90362277168654e-07
"R143D09"	-0.111533015311212	0.472145615002758	0.434775615469103	0.509830405804143	0.147328366377647	0.596797237410606
"R143E09"	-0.0435482452457355	0.48911465892598	0.446119798431402	0.532271178788592	0.621373441574117	0.910761974207259
"R143F02"	-0.00441780459760896	0.498895550646892	0.470447596357559	0.527350657293006	0.93941856092497	0.988418333992562
"R144E07"	-0.0760434294836182	0.480998298355077	0.443023489814845	0.519193917187441	0.329537675533043	0.851756586452365
"R144F06"	-0.0177268611123348	0.495568400770713	0.46415345204825	0.527018379586593	0.78258454000301	0.988418333992562
