"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"	"expression_category"
"R77G11"	-0.0160646025038064	0.495983935742972	0.463483941284457	0.528517903598908	0.808999760859246	0.903383066292824	"Unknown"
"R08E06"	-0.0161763475588795	0.49595600129408	0.473341157293616	0.518587404308811	0.726264333559621	0.848715878171417	"Unknown"
"R39B04"	-0.0166041550520352	0.495849056603774	0.461346644520192	0.530391047572384	0.813991435253906	0.903935240254338	"Unknown"
"R31B05"	-0.0167779463622958	0.495805611802141	0.46326142463269	0.528385379351677	0.800964816170584	0.972602264287372	"Vegetative Cell High"
"R138E01"	-0.0170484165017836	0.495737999102737	0.469116433780475	0.522383752241665	0.754031856497404	0.86605944660559	"Unknown"
"R196A04"	-0.0180185055026781	0.495495495495496	0.465681221258556	0.525341838896217	0.767539000252548	0.871612085032555	"Unknown"
"R33B05"	-0.0194432567042277	0.495139338950097	0.463161784537248	0.527156709330651	0.766231337365593	0.871612085032555	"Unknown"
"R23D05"	-0.0195956629450504	0.495101241018942	0.466857765926058	0.523376015441064	0.734324426819	0.972602264287372	"Vegetative Cell High"
"R04G10"	-0.0198505670838157	0.495037521181312	0.465261264260759	0.524849022117121	0.744390942646029	0.972602264287372	"Vegetative Cell High"
"R114E05"	-0.020334169505897	0.494916632777552	0.46957034376419	0.520289077292771	0.694676251180359	0.821439052738536	"Unknown"
"R182A12"	-0.0222850447894349	0.494428969359331	0.467353544844168	0.521537109441302	0.687235111550242	0.821439052738536	"Unknown"
"R114B05"	-0.0223185229556958	0.494420600858369	0.462059907011899	0.526828110778401	0.735982678174436	0.972602264287372	"Vegetative Cell High"
"R194A02"	-0.0226424767497597	0.494339622641509	0.462840380866963	0.525883864282568	0.725246935070502	0.848715878171417	"Unknown"
"R06C04"	-0.0227418538361958	0.494314781567923	0.468932783565654	0.519726118658714	0.661360774272174	0.83772364741142	"Sperm Cell High"
